_id	model.x	model.y	weighted	first-order weighting	context window size	second-order window size	second-order scheme	MDS stress	Same Class Path ratio
air.n.10-10.weightsBNC-7-7pospmi.4-4.pospmi	0.971899655	3.77132494	yes	BNC-7-7pospmi	L10-R10	L4-R4	pospmi	23.05	0.214957276
air.n.10-10.weightsBNC-7-7pospmi.4-4.tScore	0.366661751	3.417923396	yes	BNC-7-7pospmi	L10-R10	L4-R4	tScore	25.05	0.441025695
air.n.10-10.weightsBNC-7-7pospmi.7-7.diceM	2.681759364	4.369871986	yes	BNC-7-7pospmi	L10-R10	L7-R7	diceM	20.6	0.2158855
air.n.10-10.weightsBNC-7-7pospmi.7-7.LLR	-0.921381984	2.46689211	yes	BNC-7-7pospmi	L10-R10	L7-R7	LLR	25.71	0.45802335
air.n.10-10.weightsBNC-7-7pospmi.7-7.pospmi	2.091339546	4.228009389	yes	BNC-7-7pospmi	L10-R10	L7-R7	pospmi	23.22	0.219947146
air.n.10-10.weightsBNC-7-7pospmi.7-7.tScore	0.595063623	3.095801931	yes	BNC-7-7pospmi	L10-R10	L7-R7	tScore	24.14	0.425251885
air.n.20-20.weightsBNC-2-2pospmi.10-10.diceM	6.021891669	1.916504274	yes	BNC-2-2pospmi	L20-R20	L10-R10	diceM	22.2	0.211012991
air.n.20-20.weightsBNC-2-2pospmi.10-10.LLR	1.684378616	-1.082790528	yes	BNC-2-2pospmi	L20-R20	L10-R10	LLR	25.85	0.482945109
air.n.20-20.weightsBNC-2-2pospmi.10-10.pospmi	1.587749121	1.571799968	yes	BNC-2-2pospmi	L20-R20	L10-R10	pospmi	23.65	0.253601655
air.n.20-20.weightsBNC-2-2pospmi.10-10.tScore	1.004094837	1.110851082	yes	BNC-2-2pospmi	L20-R20	L10-R10	tScore	24.11	0.460557678
air.n.20-20.weightsBNC-2-2pospmi.2-2.diceM	3.411419993	2.65292436	yes	BNC-2-2pospmi	L20-R20	L2-R2	diceM	26.54	0.249961102
air.n.20-20.weightsBNC-2-2pospmi.2-2.LLR	-2.532955899	3.261794837	yes	BNC-2-2pospmi	L20-R20	L2-R2	LLR	29.43	0.4196677
air.n.20-20.weightsBNC-2-2pospmi.2-2.pospmi	3.316455214	1.212355783	yes	BNC-2-2pospmi	L20-R20	L2-R2	pospmi	26.36	0.241188298
air.n.20-20.weightsBNC-2-2pospmi.2-2.tScore	0.387216047	1.918829515	yes	BNC-2-2pospmi	L20-R20	L2-R2	tScore	28.21	0.342539883
air.n.20-20.weightsBNC-2-2pospmi.4-4.diceM	3.129321097	-0.868854322	yes	BNC-2-2pospmi	L20-R20	L4-R4	diceM	24.87	0.214983839
air.n.20-20.weightsBNC-2-2pospmi.4-4.LLR	1.14909494	-1.338109353	yes	BNC-2-2pospmi	L20-R20	L4-R4	LLR	27.61	0.478540459
air.n.20-20.weightsBNC-2-2pospmi.4-4.pospmi	2.178173951	1.190259887	yes	BNC-2-2pospmi	L20-R20	L4-R4	pospmi	25	0.229349237
air.n.20-20.weightsBNC-2-2pospmi.4-4.tScore	0.882772177	0.874028988	yes	BNC-2-2pospmi	L20-R20	L4-R4	tScore	26.11	0.439948956
air.n.20-20.weightsBNC-2-2pospmi.7-7.diceM	3.873479449	-4.580217787	yes	BNC-2-2pospmi	L20-R20	L7-R7	diceM	23.49	0.207960636
air.n.20-20.weightsBNC-2-2pospmi.7-7.LLR	0.037213759	1.053578614	yes	BNC-2-2pospmi	L20-R20	L7-R7	LLR	26.3	0.475169638
air.n.20-20.weightsBNC-2-2pospmi.7-7.pospmi	2.618163335	1.6346645	yes	BNC-2-2pospmi	L20-R20	L7-R7	pospmi	23.78	0.245927349
air.n.20-20.weightsBNC-2-2pospmi.7-7.tScore	1.242453975	0.89743474	yes	BNC-2-2pospmi	L20-R20	L7-R7	tScore	24.66	0.451598963
air.n.20-20.weightsBNC-4-4pospmi.10-10.diceM	3.968402757	2.468454276	yes	BNC-4-4pospmi	L20-R20	L10-R10	diceM	17.67	0.215958084
air.n.20-20.weightsBNC-4-4pospmi.10-10.LLR	-0.070578006	0.445609697	yes	BNC-4-4pospmi	L20-R20	L10-R10	LLR	25.26	0.458503192
